	taxonomy_0	taxonomy_1	taxonomy_2	taxonomy_3	taxonomy_4	taxonomy_5	taxonomy_6
85006	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__	g__	s__
1268	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__	s__
32207	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__
43675	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__mucilaginosa
2047	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__dentocariosa
172042	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__aeria
85336	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Rothia	s__nasimurium
1663	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__
37921	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__agilis
2600159	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__sp. UKPF54-2
2578107	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__sp. KBS0702
1849032	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__sp. U41
1357915	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__sp. QXT-31
1670	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__citreus
37928	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__crystallopoietes
656366	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__alpinus
1269	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	s__
1270	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	s__luteus
57493	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__
1275	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__rosea
71999	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__palustris
388357	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__turfanensis
1702043	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	s__sp. BT304
1742993	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Pseudarthrobacter	s__
2590775	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Pseudarthrobacter	s__sp. NIBRBAC000502772
1742989	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Glutamicibacter	s__
1155384	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Glutamicibacter	s__sp. ZJUTW
37927	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Sinomonas	s__atrocyanea
556325	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Neomicrococcus	s__aestuarii
85023	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__	s__
367477	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. XT11
2782168	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. WY121
912630	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. LKL04
1795053	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. PAMC 28756
2782167	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. A18JL200
2766784	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. Nx66
2014534	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. PM5
2614639	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__sp. L-031
36805	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__aurum
84292	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__chocolatum
104336	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__foliorum
273677	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__oleivorans
743009	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microbacterium	s__oryzae
2480625	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Plantibacter	s__sp. PA-3-X8
1905847	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Curtobacterium	s__sp. BH-2-1-1
2495430	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Curtobacterium	s__sp. Csp2
2035	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Curtobacterium	s__flaccumfaciens
59737	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	s__iranicus
110937	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	s__festucae
2609258	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Rathayibacter	s__sp. VKM Ac-2805
28447	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Clavibacter	s__michiganensis
2768071	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Clavibacter	s__sp. DM1
2080742	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	s__sp. MF30-A
2592652	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	s__sp. KACC 19306
453304	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	s__aureus
674079	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Marisediminicola	s__antarctica
69578	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Cryobacterium	s__
670052	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Cryobacterium	s__arcticum
412690	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microterricola	s__viridarii
1575	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leifsonia	s__xyli
1798223	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leifsonia	s__sp. 21MFCrub1.1
279828	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Microcella	s__alkaliphila
2735133	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Herbiconiux	s__sp. SALV-R1
2508880	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Salinibacterium	s__sp. UTAS2018
2596916	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Frigoribacterium	s__sp. NBH87
2116510	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Mycetocola	s__sp. JXN-3
2714934	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leucobacter	s__sp. HDW9B
399736	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agrococcus	s__jejuensis
556288	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__saurashtrense
1331682	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__ginsengisoli
2571029	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	s__sp. SGAir0954
1667168	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Dermabacter	s__jinjuensis
157920	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	s__
1710	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	s__cellulans
2587808	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	s__sp. BI34T
186189	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Xylanimonas	s__cellulosilytica
2509459	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Xylanimonas	s__allomyrinae
139208	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola	s__variabilis
372663	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Isoptericola	s__dokdonensis
2509457	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Xylanimicrobium	s__sp. FW10M-9
1078471	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Serinicoccus	s__profundi
247333	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Serinicoccus	s__marinus
2594265	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Ornithinimicrobium	s__sp. H23M54
2714941	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Phycicoccus	s__sp. HDW14
53457	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Janibacter	s__
2575923	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__sp. CS2
2697563	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__sp. WO024
2697565	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__sp. o2
273384	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	s__aurantiacum
2591145	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__sp. Y8
2654191	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Cellulomonas	s__sp. JZ18
2654547	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Cellulomonadaceae	g__Pseudactinotalea	s__sp. HY158
2585135	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Bogoriellaceae	g__Georgenia	s__sp. Z294
2483799	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Bogoriellaceae	g__Georgenia	s__faecalis
2716227	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermatophilaceae	g__Mobilicoccus	s__sp. NJES-13
100225	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermatophilaceae	g__Austwickia	s__chelonae
1276	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermacoccaceae	g__Kytococcus	s__sedentarius
571913	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Dermacoccaceae	g__Luteipulveratus	s__mongoliensis
2171623	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Beutenbergiaceae	g__Miniimonas	s__sp. S16
1133546	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__	g__Luteimicrobium	s__xylanilyticum
2603206	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Micrococcales	f__Ruaniaceae	g__Ruania	s__sp. HY168
85007	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__	g__	s__
1762	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__	s__
1763	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__
1768	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__kansasii
212767	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__sp. JS623
1545728	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__sp. EPa45
2587868	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__sp. THAF192
2675524	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__sp. DL592
1775	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__cookii
1389713	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__paragordonae
53376	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__heidelbergense
470076	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__stomatepiae
722731	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__shigaense
1764	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__avium
1767	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__intracellulare
339268	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__colombiense
1552759	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__grossiae
1773	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__tuberculosis
398694	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__shinjukuense
43348	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__branderi
39689	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__gallinarum
1866885	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__
1771	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__phlei
319706	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__phocaicum
53462	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__mageritense
1286181	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__arabiense
67081	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__alvei
39695	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__tokaiense
39692	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__parafortuitum
212765	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__madagascariense
134601	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__goodii
117567	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__frederiksbergense
85693	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__monacense
1792	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__chitae
1766	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__fortuitum
1793	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__fallax
39688	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__duvalii
1534348	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__sarraceniae
36809	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacteroides	s__abscessus
83262	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacteroides	s__immunogenum
404941	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycobacteroides	s__salmoniphilum
1069220	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacillus	s__koreensis
1788	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Mycobacteriaceae	g__Mycolicibacter	s__terrae
1716	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__
43990	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__segmentosum
2675219	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__sp. 2039
2079535	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__sp. 2184
2754725	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__sp. Marseille-Q3630
2763010	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__sp. zg-917
401472	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__ureicelerivorans
1717	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__diphtheriae
225326	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__halotolerans
43768	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__matruchotii
161879	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__kroppenstedtii
146827	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__simulans
1230998	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__frankenforstense
1072256	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__uterequi
65058	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__ulcerans
136857	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__testudinoris
156976	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__riegelii
1408191	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__deserti
1862358	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__choanis
441500	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__timonense
349751	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__marinum
1725	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__xerosis
1721	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	s__callunae
1827	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__
2742603	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__sp. W8901
2499145	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__sp. X156
1653479	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__sp. PBTS 2
1828	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__fascians
1829	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__rhodochrous
1830	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__ruber
37919	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__opacus
43767	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__hoagii
300028	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	s__triatomae
1817	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__
37326	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__brasiliensis
1047172	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__sp. CS682
2755382	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__sp. WCH-YHL-001
1824	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__asteroides
37329	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__farcinica
135487	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__cyriacigeorgica
455432	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__terpenica
480035	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__wallacei
2382165	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__yunnanensis
1136941	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Gordoniaceae	g__Gordonia	s__phthalatica
2055	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Gordoniaceae	g__Gordonia	s__terrae
2054	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Gordoniaceae	g__Gordonia	s__bronchialis
2597659	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Gordoniaceae	g__Gordonia	s__sp. HY186
2061	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Tsukamurellaceae	g__Tsukamurella	s__paurometabola
712270	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__Dietziaceae	g__Dietzia	s__sp. oral taxon 368
1528099	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Corynebacteriales	f__	g__Lawsonella	s__clevelandensis
31957	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__	s__
1912216	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__
